FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,82752,82752
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,GY 08,20,1141,Principal Operations Analyst,Annual,8,1,80472,643776
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,3 00,10,1140,Chief Operations Analyst,Annual,4,1,103512,414048
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,3 00,0,06A6,Data Scientist,Annual,5,1,117816,589080
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,B 16,1,634,Data Services Administrator,Annual,3,1,85524,256572
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,X 43,0,03A4,Assistant Director,Annual,1,1,146376,146376
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,X 43,0,03A4,Assistant Director,Annual,2,1,129936,259872
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4139,Strategic Initiatives Division,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,37146,37146
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,3 00,99,9752,Commander,Annual,1,1,181200,181200
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 04,73,9173,Lieutenant,Annual,3,1,154074,462222
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 04,73,9173,Lieutenant,Annual,1,1,149502,149502
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 04,73,9173,Lieutenant,Annual,1,1,145092,145092
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 04,73,9173,Lieutenant,Annual,1,1,140748,140748
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 03,71,9171,Sergeant,Annual,5,1,137208,686040
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 03,71,9171,Sergeant,Annual,1,1,132906,132906
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,E 03,71,9171,Sergeant,Annual,1,1,124854,124854
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,2,1,120630,241260
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,D 01,91,9161,Police Officer,Annual,2,1,114768,229536
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,D 01,91,9161,Police Officer,Annual,3,1,111540,334620
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,D 01,91,9161,Police Officer,Annual,3,1,107556,322668
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,D 01,91,9161,Police Officer,Annual,13,1,100422,1305486
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,GY 08,20,1141,Principal Operations Analyst,Annual,2,1,80472,160944
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,3 00,10,1140,Chief Operations Analyst,Annual,1,1,103512,103512
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2037,Bureau of Crime Control Strategies,3069,Strategic Initiatives Division,4143,Compstat Unit,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,6586,6586
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,1 00,99,9796,Deputy Chief,Annual,1,1,189504,189504
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,1 00,99,9785,Chief,Annual,1,1,206472,206472
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,1 00,99,9782,Deputy Superintendent,Annual,1,1,207648,207648
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,3 00,99,9752,Commander,Annual,2,1,181200,362400
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,X 42,9,9675,Deputy Director,Annual,1,1,167880,167880
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,E 05,75,9175,Captain,Annual,1,1,163542,163542
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,E 05,75,9175,Captain,Annual,6,1,154764,928584
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,E 03,71,9171,Sergeant,Annual,1,1,132906,132906
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,D 01,91,9161,Police Officer,Annual,2,1,114768,229536
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 09,20,9024,Project Strategy Manager - CPD,Annual,4,1,86520,346080
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,BX 16,10,3585,Coordinator of Research and Evaluation,Annual,3,1,74244,222732
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 08,20,3052,Equity Officer,Annual,2,1,80472,160944
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 11,20,3051,Senior Equity Officer,Annual,1,1,103176,103176
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 09,20,2903,Research and Policy Analyst - CPD,Annual,2,1,86520,173040
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,BX 15,10,1912,Project Coordinator,Annual,3,1,67656,202968
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,G 07,4,1646,Attorney,Annual,1,1,84972,84972
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,B 13,1,1617,Paralegal II,Annual,3,1,64668,194004
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,3 00,0,1127,Chief Performance Analyst,Annual,4,1,103512,414048
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,82752,82752
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 08,20,1126,Senior Performance Analyst,Annual,10,1,80472,804720
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,GY 07,20,1125,Performance Analyst,Annual,7,1,73800,516600
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,BX 17,10,790,Public Relations Coordinator,Annual,1,1,80628,80628
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,B 15,1,729,Information Coordinator,Annual,3,1,77892,233676
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,3 00,0,06A6,Data Scientist,Annual,1,1,117816,117816
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,X 43,0,03A4,Assistant Director,Annual,1,1,129936,129936
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,3 00,9,311,Projects Administrator,Annual,2,1,112080,224160
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3350,Office of Constitutional Policing and Reform,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,54702,54702
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3355,Administrative Support Division,4355,Human Resources Division,E 03,71,9171,Sergeant,Annual,1,1,132906,132906
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3355,Administrative Support Division,4355,Human Resources Division,D 01,91,9161,Police Officer,Annual,1,1,103950,103950
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3355,Administrative Support Division,4356,Medical Section,E 04,73,9173,Lieutenant,Annual,1,1,154074,154074
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3355,Administrative Support Division,4356,Medical Section,E 03,71,9171,Sergeant,Annual,1,1,132906,132906
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3355,Administrative Support Division,4356,Medical Section,E 03,71,9171,Sergeant,Annual,1,1,128772,128772
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3355,Administrative Support Division,4356,Medical Section,D 01,91,9161,Police Officer,Annual,1,1,100422,100422
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,1 00,99,9796,Deputy Chief,Annual,1,1,189504,189504
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,3 00,99,9752,Commander,Annual,1,1,181200,181200
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 04,73,9173,Lieutenant,Annual,4,1,154074,616296
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 04,73,9173,Lieutenant,Annual,3,1,149502,448506
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 04,73,9173,Lieutenant,Annual,1,1,145092,145092
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 03,71,9171,Sergeant,Annual,8,1,137208,1097664
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 03,71,9171,Sergeant,Annual,15,1,132906,1993590
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 03,71,9171,Sergeant,Annual,13,1,128772,1674036
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,E 03,71,9171,Sergeant,Annual,6,1,124854,749124
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 02,91,9170,Police Officer - Assigned as Armorer,Annual,1,1,81972,81972
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,120630,120630
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 02,91,9164,Police Officer - Assigned as Training Officer,Annual,1,1,120630,120630
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 02,91,9164,Police Officer - Assigned as Training Officer,Annual,1,1,117138,117138
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 02,91,9164,Police Officer - Assigned as Training Officer,Annual,3,1,105480,316440
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 01,91,9161,Police Officer,Annual,20,1,114768,2295360
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 01,91,9161,Police Officer,Annual,26,1,111540,2900040
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 01,91,9161,Police Officer,Annual,33,1,107556,3549348
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 01,91,9161,Police Officer,Annual,5,1,103950,519750
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 01,91,9161,Police Officer,Annual,38,1,100422,3816036
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,D 01,91,9161,Police Officer,Annual,24,1,95598,2294352
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,GY 09,20,9024,Project Strategy Manager - CPD,Annual,1,1,86520,86520
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,G 07,4,1646,Attorney,Annual,1,1,96624,96624
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,G 07,4,1646,Attorney,Annual,1,1,84972,84972
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,6,1,123168,739008
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,2,1,117684,235368
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,1,1,112260,112260
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,2,1,97668,195336
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,1,1,88140,88140
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,1,1,84120,84120
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 14,1,1359,Training Officer,Annual,104,1,71004,7384416
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 12,1,303,Administrative Assistant III,Annual,1,1,58956,58956
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,B 10,1,302,Administrative Assistant II,Annual,1,1,84972,84972
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4361,Training Division,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,137522,137522
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,X 42,9,9704,Director of Professional Counseling Services,Annual,1,1,167880,167880
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,X 42,9,9675,Deputy Director,Annual,1,1,167880,167880
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,E 05,75,9175,Captain,Annual,1,1,163542,163542
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,D 01,91,9161,Police Officer,Annual,1,1,111540,111540
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,D 01,91,9161,Police Officer,Annual,1,1,100422,100422
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,D 03,91,9156,Police Officer - Assigned as Supervising Substance Abuse Counselor,Annual,1,1,137208,137208
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 09,4,3537,Supervising Police Mental Health Clinitian,Annual,3,1,102876,308628
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 08,4,3536,Police Mental Health Clinitian,Annual,3,1,93708,281124
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 07,4,3534,Clinical Therapist III,Annual,1,1,122196,122196
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 07,4,3534,Clinical Therapist III,Annual,1,1,106080,106080
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 07,4,3534,Clinical Therapist III,Annual,6,1,101448,608688
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 07,4,3534,Clinical Therapist III,Annual,3,1,96624,289872
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 07,4,3534,Clinical Therapist III,Annual,1,1,87600,87600
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,G 07,4,3534,Clinical Therapist III,Annual,10,1,84972,849720
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,X 43,0,03A4,Assistant Director,Annual,1,1,129936,129936
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4362,Professional Counseling Division,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,35890,35890
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,1 00,99,9796,Deputy Chief,Annual,1,1,189504,189504
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,E 04,73,9173,Lieutenant,Annual,1,1,154074,154074
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,E 03,71,9171,Sergeant,Annual,1,1,128772,128772
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,E 03,71,9171,Sergeant,Annual,1,1,124854,124854
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,D 01,91,9161,Police Officer,Annual,2,1,111540,223080
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,D 01,91,9161,Police Officer,Annual,2,1,107556,215112
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,B 14,3,3897,Community Outreach Coordinator,Annual,1,1,71004,71004
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,94500,94500
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,B 12,1,303,Administrative Assistant III,Annual,1,1,58956,58956
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4364,Crisis Intervention Teams,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3103,3103
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4365,Officer Support and Youth Intervention,D 01,91,9161,Police Officer,Annual,1,1,111540,111540
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3358,Training and Support,4365,Officer Support and Youth Intervention,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,393,393
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3624,Professional Standards and Compliance,4153,Reform Management Section,X 42,9,9675,Deputy Director,Annual,1,1,167880,167880
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3624,Professional Standards and Compliance,4153,Reform Management Section,E 03,71,9171,Sergeant,Annual,1,1,132906,132906
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3624,Professional Standards and Compliance,4153,Reform Management Section,E 03,71,9171,Sergeant,Annual,1,1,124854,124854
LOCAL,57,Chicago Police Department,100,Corporate Fund,1005,Chicago Police Department,2040,Office of Constitutional Policing and Reform,3624,Professional Standards and Compliance,4153,Reform Management Section,GY 09,20,9024,Project Strategy Manager - CPD,Annual,1,1,103176,103176
